,feature,scores,pvalues,support
4545,ICD_Dx_K753,18.897048966151093,1.4136227546542393e-05,True
4556,ICD_Dx_K7681,18.89704896615118,1.4136227546542393e-05,True
4608,ICD_Dx_K835,11.277836229119279,0.0007916403991508027,True
4616,ICD_Dx_K858,12.796532098789417,0.00035133373059434566,True
4624,ICD_Dx_K860,18.89704896615101,1.4136227546542393e-05,True
4628,ICD_Dx_K868,30.788001503855813,3.0625409879845607e-08,True
4641,ICD_Dx_K913,21.191553954318703,4.283617062819856e-06,True
4646,ICD_Dx_K9181,18.897048966150976,1.4136227546542393e-05,True
4647,ICD_Dx_K91840,33.33799174029298,8.327524873554918e-09,True
4648,ICD_Dx_K91841,23.91598108855468,1.0454729875276248e-06,True
4650,ICD_Dx_K91858,18.897048966151196,1.4136227546542393e-05,True
4652,ICD_Dx_K91870,25.70642761404325,4.153167063672509e-07,True
4655,ICD_Dx_K9189,256.5151091752973,5.062814929892041e-56,True
4659,ICD_Dx_K9289,16.946016398370006,3.922589233059091e-05,True
4677,ICD_Dx_K9439,18.897048966151125,1.4136227546542393e-05,True
4679,ICD_Dx_K9581,18.8970489661511,1.4136227546542393e-05,True
4682,ICD_Dx_L02211,237.93242427355503,3.327714902451533e-52,True
4684,ICD_Dx_L02213,23.915981088556272,1.0454729875268225e-06,True
4698,ICD_Dx_L02818,18.897048966151043,1.4136227546542393e-05,True
4699,ICD_Dx_L0291,34.06882625906574,5.737271055597868e-09,True
4710,ICD_Dx_L03311,48.66544859635441,3.531619391376516e-12,True
4716,ICD_Dx_L03317,11.277836229119767,0.0007916403991505011,True
4719,ICD_Dx_L0390,10.018595047705391,0.0015611959070811283,True
4746,ICD_Dx_L409,12.34824644024501,0.0004462409608989509,True
4747,ICD_Dx_L439,18.897048966151,1.4136227546542393e-05,True
4753,ICD_Dx_L538,12.796532098789495,0.00035133373059434566,True
4754,ICD_Dx_L539,9.66137085003187,0.0018949151457022836,True
4785,ICD_Dx_L7682,21.390440322268212,3.86356558281996e-06,True
4801,ICD_Dx_L89151,12.796532098789523,0.00035133373059434566,True
4851,ICD_Dx_L959,18.89704896615116,1.4136227546542393e-05,True
4884,ICD_Dx_L97919,12.796532098789879,0.0003513337305942601,True
4888,ICD_Dx_L98429,18.89704896615116,1.4136227546542393e-05,True
4900,ICD_Dx_M0530,18.897048966150976,1.4136227546542393e-05,True
4964,ICD_Dx_M1990,18.29763793804,1.9331264862533824e-05,True
5018,ICD_Dx_M25519,23.915981088554627,1.0454729875278755e-06,True
5084,ICD_Dx_M4327,18.897048966150997,1.4136227546542393e-05,True
5090,ICD_Dx_M461,18.897048966151097,1.4136227546542393e-05,True
5123,ICD_Dx_M4854XS,18.89704896615118,1.4136227546542393e-05,True
5137,ICD_Dx_M5124,18.89704896615102,1.4136227546542393e-05,True
5213,ICD_Dx_M791,9.419480798217407,0.0021611703062845446,True
5226,ICD_Dx_M79632,18.897048966151115,1.4136227546542393e-05,True
5268,ICD_Dx_M8580,16.1839828888804,5.8529228894398113e-05,True
5314,ICD_Dx_M9689,18.897048966150972,1.4136227546542393e-05,True
5350,ICD_Dx_N139,18.897048966151026,1.4136227546542393e-05,True
5353,ICD_Dx_N170,11.83794925564703,0.0005862377133832012,True
5355,ICD_Dx_N179,47.06772981584916,7.902058655631138e-12,True
5363,ICD_Dx_N19,12.199677090256197,0.0004831015633649055,True
5381,ICD_Dx_N3001,18.897048966151026,1.4136227546542393e-05,True
5384,ICD_Dx_N3040,18.897048966151026,1.4136227546542393e-05,True
5412,ICD_Dx_N39490,18.897048966151125,1.4136227546542393e-05,True
5483,ICD_Dx_N738,18.897048966151086,1.4136227546542393e-05,True
5484,ICD_Dx_N739,19.076642758103922,1.2872050093303124e-05,True
5556,ICD_Dx_N99821,18.897048966151118,1.4136227546542393e-05,True
5624,ICD_Dx_Q423,18.897048966151125,1.4136227546542393e-05,True
5625,ICD_Dx_Q430,10.873521591576413,0.0009839264454085208,True
5635,ICD_Dx_Q458,18.89704896615119,1.4136227546542393e-05,True
5663,ICD_Dx_R000,144.60870109678507,9.420068613430742e-33,True
5674,ICD_Dx_R0600,17.07589593418444,3.664300505045965e-05,True
